section,package,classification,purpose,notes
oci-image,ghcr.io/ublue-os/ucore-hci:stable,oci-base-alt,Base image variant without NVIDIA,Selectable via build-arg
oci-image,ghcr.io/ublue-os/ucore:stable,oci-base-alt,Minimal uCore (no HCI extras),Selectable via build-arg
oci-image,quay.io/centos-bootc/bootc-image-builder:latest,oci-tool,BIB: disk image builder (RAW/ISO/QCOW2/VHDX/WSL2),MIOS_BIB_IMAGE in Justfile / config/artifacts/*.toml
oci-image,quay.io/centos-bootc/centos-bootc:stream10,oci-tool,Rechunker fallback context,MIOS_IMG_RECHUNK in mios-build-local.ps1
oci-image,docker.io/library/alpine:latest,oci-tool,Helper image fallback,FallbackHash / FallbackConvert in mios-build-local.ps1
oci-image,anchore/syft:latest,oci-tool,CycloneDX/SPDX SBOM generator,Justfile sbom + automation/90-generate-sbom.sh
oci-image,docker.io/localai/localai:latest,oci-quadlet,Local OpenAI-compatible inference (mios-ai),etc/containers/systemd/mios-ai.container - LAW 5
oci-image,quay.io/ceph/ceph:latest,oci-quadlet,Ceph storage cluster (mios-ceph),etc/containers/systemd/mios-ceph.container
oci-image,docker.io/rancher/k3s:latest,oci-quadlet,Kubernetes control plane (mios-k3s),etc/containers/systemd/mios-k3s.container
oci-image,docker.io/ollama/ollama:latest,oci-quadlet,Ollama inference server,usr/share/containers/systemd/ollama.container
oci-image,docker.io/crowdsecurity/crowdsec:latest,oci-quadlet,CrowdSec sovereign IPS dashboard,usr/share/containers/systemd/crowdsec-dashboard.container
oci-image,docker.io/guacamole/guacamole:latest,oci-quadlet,Apache Guacamole web frontend,usr/share/containers/systemd/mios-guacamole.container
oci-image,docker.io/guacamole/guacd:latest,oci-quadlet,Guacamole proxy daemon,usr/share/containers/systemd/guacd.container
oci-image,docker.io/library/postgres:latest,oci-quadlet,PostgreSQL backing Guacamole,usr/share/containers/systemd/guacamole-postgres.container
oci-image,quay.io/poseidon/matchbox:latest,oci-quadlet,PXE boot hub (matchbox),usr/share/containers/systemd/mios-pxe-hub.container
flatpak-default,org.gnome.Epiphany,flatpak,Default Flatpak installed at first boot,From .env.mios
flatpak-default,com.github.tchx84.Flatseal,flatpak,Default Flatpak installed at first boot,From .env.mios
flatpak-default,io.github.kolunmi.Bazaar,flatpak,Default Flatpak installed at first boot,From .env.mios
flatpak-default,com.mattjakeman.ExtensionManager,flatpak,Default Flatpak installed at first boot,From .env.mios
