# value-dup-baseline.tsv -- ratcheted exemption ledger for
# automation/98-drift-checks.sh::check_no_duplicate_value_key (WS-GUP AGY-1422).
#
# WHAT THE GATE ASSERTS
#   One value, one name, across the resolved MIOS_* environment that
#   usr/libexec/mios/mios-env-snapshot produces from the SSOT.  The tree
#   violates that property 816 times today, so the gate RATCHETS rather than
#   blocking: every duplicate-value group that exists now is recorded below
#   with its exact key set, and the group count is pinned by the ceiling.
#
#   VIOLATION if a duplicate group appears whose value is not recorded here;
#   VIOLATION if a new key joins a group that is recorded here;
#   VIOLATION if the group count differs from the ceiling in either direction;
#   VIOLATION if the resolver, this ledger, or python3 is missing or fails --
#   a gate with no data must never report green, which is exactly how the
#   previous version of this check stayed green over all 816 groups.
#
#   Do NOT add a row to silence a new duplicate.  Collapse the duplicate.  If
#   the two keys really are distinct facts that happen to share a value, say so
#   in usr/share/mios/reference/value-aliases.tsv (disposition keep-distinct)
#   and regenerate -- the added row then shows up in the diff for review.
#
# CEILING
#   #!ceiling is the number of groups and it is EXACT.  More groups is a
#   regression.  FEWER groups is also a failure, because a ceiling that never
#   comes down is how 816 accumulated: fixing duplicates must be paid for by
#   tightening this number in the same commit.
#
#   The ceiling lives here rather than in mios.toml because a number in the
#   SSOT that counts the resolved duplicate VALUES in the resolved environment is
#   self-referential -- "816" already occurs four times as an env value, so
#   declaring the ceiling in mios.toml would perturb the very set it counts.
#
# REGENERATE (after a legitimate SSOT change, and review the diff)
#   MIOS_VALUE_DUP_BASELINE_BUMP=1 MIOS_DRIFT_ROOT=<root> MIOS_DRIFT_CHECK_ROOT=<root> \
#     bash automation/98-drift-checks.sh check_no_duplicate_value_key
#
# FORMAT
#   value<TAB>key_count<TAB>comma-separated MIOS_* keys, ordered by descending
#   key count then value.  The value field escapes backslash as \, TAB as \t
#   and CR as \r.  Values the gate does not treat as duplicates at all --
#   the empty string, true/false, 0/1 and the well-known ports 22/53/80/443/
#   8080 -- never appear here.
#!ceiling	396
service-plane	42	MIOS_BLADE_ARCHETYPES_DESKTOP,MIOS_BLADE_ARCHETYPES_HEADLESS,MIOS_BLADE_REQUIRES_HERMES_WORKER,MIOS_BLADE_REQUIRES_K3S,MIOS_BLADE_REQUIRES_MIOS_ACCOUNT_SYNC,MIOS_BLADE_REQUIRES_MIOS_ADGUARD,MIOS_BLADE_REQUIRES_MIOS_AGENTS,MIOS_BLADE_REQUIRES_MIOS_CEPH,MIOS_BLADE_REQUIRES_MIOS_COCKPIT_LINK,MIOS_BLADE_REQUIRES_MIOS_CODE_SERVER,MIOS_BLADE_REQUIRES_MIOS_CPU_NODE,MIOS_BLADE_REQUIRES_MIOS_CRON_DIRECTOR,MIOS_BLADE_REQUIRES_MIOS_DAEMON,MIOS_BLADE_REQUIRES_MIOS_EMBED_BACKFILL,MIOS_BLADE_REQUIRES_MIOS_FINETUNE_SERVE,MIOS_BLADE_REQUIRES_MIOS_FORGE,MIOS_BLADE_REQUIRES_MIOS_FORGEJO_RUNNER,MIOS_BLADE_REQUIRES_MIOS_FORGEJO_RUNNER_FIRSTBOOT,MIOS_BLADE_REQUIRES_MIOS_FORGE_FIRSTBOOT,MIOS_BLADE_REQUIRES_MIOS_GIT_ROOT_INIT,MIOS_BLADE_REQUIRES_MIOS_GUACAMOLE,MIOS_BLADE_REQUIRES_MIOS_GUACD,MIOS_BLADE_REQUIRES_MIOS_HERMES_BROWSER_WORKER,MIOS_BLADE_REQUIRES_MIOS_K3S_MASTER,MIOS_BLADE_REQUIRES_MIOS_LLM_LIGHT,MIOS_BLADE_REQUIRES_MIOS_MCP,MIOS_BLADE_REQUIRES_MIOS_NODE,MIOS_BLADE_REQUIRES_MIOS_OPENCODE_GATEWAY,MIOS_BLADE_REQUIRES_MIOS_OPEN_WEBUI,MIOS_BLADE_REQUIRES_MIOS_OTELCOL,MIOS_BLADE_REQUIRES_MIOS_PASSPORT_PROVISION,MIOS_BLADE_REQUIRES_MIOS_PGVECTOR,MIOS_BLADE_REQUIRES_MIOS_PGVECTOR_BACKUP,MIOS_BLADE_REQUIRES_MIOS_POLICY_ARBITER,MIOS_BLADE_REQUIRES_MIOS_SEARXNG,MIOS_BLADE_REQUIRES_MIOS_SKILLS_MINER,MIOS_BLADE_REQUIRES_MIOS_SYS_ENV_REFRESH,MIOS_BLADE_REQUIRES_MIOS_USERDB_RENDER,MIOS_BLADE_REQUIRES_MIOS_WEBTOOLS_CRAWL4AI,MIOS_BLADE_REQUIRES_MIOS_WEBTOOLS_FIRECRAWL_API,MIOS_BLADE_REQUIRES_MIOS_WEBTOOLS_FIRECRAWL_WORKER,MIOS_BLADE_REQUIRES_MIOS_WEBTOOLS_REDIS
network-online.target	4	MIOS_PODS_MIOS_AI_AFTER,MIOS_PODS_MIOS_AI_WANTS,MIOS_PODS_MIOS_SYSTEM_AFTER,MIOS_PODS_MIOS_SYSTEM_WANTS
mios	22	MIOS_AUTH_PASSWORD,MIOS_CEPHFS_TENANT_ID,MIOS_DEFAULT_HOST,MIOS_DEFAULT_PASSWORD,MIOS_DEFAULT_USER,MIOS_FIRECRAWL_BULL_KEY,MIOS_HOSTNAME,MIOS_IDENTITY_DEFAULT_PASSWORD,MIOS_IDENTITY_HOSTNAME,MIOS_IDENTITY_NAME,MIOS_IDENTITY_USERNAME,MIOS_PGVECTOR_DB,MIOS_PGVECTOR_PASS,MIOS_PG_DB,MIOS_PG_PASS,MIOS_PG_USER,MIOS_SERVICES_WEBTOOLS_FIRECRAWL_BULL_KEY,MIOS_SHELL_SESSION_SOCKET_NAME,MIOS_STORAGE_CEPHFS_TENANT_ID,MIOS_USER,MIOS_VARIANTS_ENTRIES_MIOS_EDITION,MIOS_VARIANTS_NAMING_BASE
2	26	MIOS_AGENT_PIPE_NO_PROGRESS_WINDOW,MIOS_AGENT_PIPE_REFLEXION_LIMIT,MIOS_BLADES_HAZARDS_MAX_ACCEPTED,MIOS_CONSENSUS_MIN_LANES,MIOS_DEV_VM_CPU_RESERVE_MIN,MIOS_DISPATCH_AUTONOMY_MAX_DISPATCH_DEPTH,MIOS_DISPATCH_DEFAULT_HOP_BUDGET,MIOS_DISPATCH_LANE_CONCURRENCY_CPU,MIOS_DISPATCH_SWARM_MAX_CPU_NODES,MIOS_DOCS_STAY_MAX_LINES,MIOS_FIND_CATEGORY_PRIORITY_WINDOWS_GUI,MIOS_FIND_RANKER_FUZZY_MAX_EDIT_DISTANCE,MIOS_FINETUNE_BATCH_SIZE,MIOS_FINETUNE_EPOCHS,MIOS_FIRECRAWL_WORKERS,MIOS_SCHED_COMPLEXITY_HINTS_DIVISOR,MIOS_SCHED_SCORE_ROUND_NDIGITS,MIOS_SCHED_URGENCY_LOW,MIOS_SELFIMPROVE_PASSHAT_K,MIOS_SERVICES_WEBTOOLS_FIRECRAWL_WORKERS,MIOS_SKILLS_MIN_LENGTH,MIOS_SSOT_CONSUMERS_MAX_UNRESOLVED,MIOS_VARIANTS_MAX_DESIGN_VARIANTS,MIOS_WEB_RESEARCH_ANCHOR_WEIGHT,MIOS_WEB_RESEARCH_MIN_SCORE,MIOS_WEB_RESEARCH_SLUG_WEIGHT
file	26	MIOS_DEPLOY_FORMATS_OCI_ARCHIVE_MEDIUM,MIOS_TEMPLATES_ADR_EMIT,MIOS_TEMPLATES_AUTOMATION_STEP_EMIT,MIOS_TEMPLATES_BASH_EMIT,MIOS_TEMPLATES_BASH_TOOL_EMIT,MIOS_TEMPLATES_BASH_VERB_EMIT,MIOS_TEMPLATES_CARGO_MANIFEST_EMIT,MIOS_TEMPLATES_JSON_SCHEMA_EMIT,MIOS_TEMPLATES_MARKDOWN_DOC_EMIT,MIOS_TEMPLATES_POWERSHELL_EMIT,MIOS_TEMPLATES_PYTHON_MODULE_EMIT,MIOS_TEMPLATES_PYTHON_TEST_EMIT,MIOS_TEMPLATES_PYTHON_TOOL_EMIT,MIOS_TEMPLATES_QUADLET_CONTAINER_EMIT,MIOS_TEMPLATES_QUADLET_EMIT,MIOS_TEMPLATES_QUADLET_NETWORK_EMIT,MIOS_TEMPLATES_QUADLET_POD_EMIT,MIOS_TEMPLATES_QUADLET_VOLUME_EMIT,MIOS_TEMPLATES_ROADMAP_EMIT,MIOS_TEMPLATES_ROADMAP_WS_EMIT,MIOS_TEMPLATES_RUST_EMIT,MIOS_TEMPLATES_SYSTEMD_TIMER_EMIT,MIOS_TEMPLATES_SYSTEMD_UNIT_EMIT,MIOS_TEMPLATES_TOML_CONFIG_EMIT,MIOS_TEMPLATES_TYPESCRIPT_EMIT,MIOS_TEMPLATES_YAML_EMIT
3	24	MIOS_AGENT_PIPE_MAX_CONSECUTIVE_FAILURES,MIOS_ANTIFAB_MIN_ENTITIES,MIOS_BLADES_TYPICAL_NODES,MIOS_BLADE_CLUSTER_K3S_SERVERS,MIOS_BLADE_CLUSTER_LOCALHOST_HOSTS,MIOS_BLADE_COLLAPSE_FAIL_CHECKS,MIOS_BLADE_DISCOVERY_HEALTH_TIMEOUT_S,MIOS_DAEMON_ESCALATION_MAX_ATTEMPTS,MIOS_DISPATCH_AGENT_CONCURRENCY,MIOS_DISPATCH_FANOUT_MAX,MIOS_DISPATCH_LANE_CONCURRENCY,MIOS_DISPATCH_RERANK_FANOUT,MIOS_DISPATCH_SWARM_MAX_WIDTH,MIOS_FIND_CATEGORY_PRIORITY_LINUX_FLATPAK,MIOS_GOSSIP_FANOUT,MIOS_PKG_LOOKUP_MAX_ALIAS_RESULTS,MIOS_REFINE_DISPATCH_ARG_MAX_WORDS,MIOS_RELIABILITY_PASS_AND_K_COUNT,MIOS_SELFIMPROVE_MAX_PROPOSALS_PER_PASS,MIOS_SKILLS_MIN_SUCCESS_SAMPLES,MIOS_SKILLS_MIN_SUPPORT,MIOS_VERITY_ANTIFAB_MIN_ENTITIES,MIOS_WEB_RESEARCH_MAX_ATTEMPTS,MIOS_WEB_RESEARCH_PASSES
10	22	MIOS_CONV_MEMORY_COLD_ZSTD_LEVEL,MIOS_DAEMON_CLASSIFY_LIMIT_PER_MIN,MIOS_DAEMON_QUIESCENCE_WINDOW_MIN,MIOS_LSFS_MAX_VERSIONS,MIOS_PLANNER_SHORT_PROMPT_WORDS,MIOS_PORTS_CATEGORIES_ADMIN_STRIDE,MIOS_PORTS_CATEGORIES_AGENT_STRIDE,MIOS_PORTS_CATEGORIES_BRIDGE_STRIDE,MIOS_PORTS_CATEGORIES_CLUSTER_STRIDE,MIOS_PORTS_CATEGORIES_DATA_STRIDE,MIOS_PORTS_CATEGORIES_DESKTOP_STRIDE,MIOS_PORTS_CATEGORIES_DEVTOOLS_STRIDE,MIOS_PORTS_CATEGORIES_FORGE_STRIDE,MIOS_PORTS_CATEGORIES_INFERENCE_STRIDE,MIOS_PORTS_CATEGORIES_WEBTOOLS_STRIDE,MIOS_PORTS_CATEGORIES_WEBUI_STRIDE,MIOS_REPOS_FEDORA_MAX_PARALLEL_DOWNLOADS,MIOS_REPOS_FEDORA_TIMEOUT,MIOS_REPOS_FEDORA_UPDATES_MAX_PARALLEL_DOWNLOADS,MIOS_REPOS_FEDORA_UPDATES_TIMEOUT,MIOS_RUST_MAX_UNTESTED_CRATES,MIOS_SCHED_COMPLEXITY_CAP
hash	20	MIOS_TEMPLATES_AUTOMATION_STEP_COMMENT,MIOS_TEMPLATES_BASH_COMMENT,MIOS_TEMPLATES_BASH_TOOL_COMMENT,MIOS_TEMPLATES_BASH_VERB_COMMENT,MIOS_TEMPLATES_CARGO_MANIFEST_COMMENT,MIOS_TEMPLATES_DRIFT_CHECK_COMMENT,MIOS_TEMPLATES_JSON_SCHEMA_COMMENT,MIOS_TEMPLATES_POWERSHELL_COMMENT,MIOS_TEMPLATES_PYTHON_MODULE_COMMENT,MIOS_TEMPLATES_PYTHON_TEST_COMMENT,MIOS_TEMPLATES_PYTHON_TOOL_COMMENT,MIOS_TEMPLATES_QUADLET_COMMENT,MIOS_TEMPLATES_QUADLET_CONTAINER_COMMENT,MIOS_TEMPLATES_QUADLET_NETWORK_COMMENT,MIOS_TEMPLATES_QUADLET_POD_COMMENT,MIOS_TEMPLATES_QUADLET_VOLUME_COMMENT,MIOS_TEMPLATES_SYSTEMD_TIMER_COMMENT,MIOS_TEMPLATES_SYSTEMD_UNIT_COMMENT,MIOS_TEMPLATES_TOML_CONFIG_COMMENT,MIOS_TEMPLATES_YAML_COMMENT
5	9	MIOS_AGENT_PIPE_QUALITY_MIN_LENGTH,MIOS_AGENT_PIPE_REPLAN_MAX,MIOS_FIND_CATEGORY_PRIORITY_AGENT_CLI,MIOS_KNOWLEDGE_HOT_THRESHOLD,MIOS_MEMORY_TOOL_RESULT_TTL_TURNS,MIOS_PORTS_CATEGORIES_SIDECAR_STRIDE,MIOS_RELIABILITY_PASS_AND_K_DGM_COUNT,MIOS_SCHED_URGENCY_DEFAULT,MIOS_SELFIMPROVE_MIN_SAMPLES
latest	17	MIOS_ADGUARD_VERSION,MIOS_BIB_ALPINE_VERSION,MIOS_CAT_VENTOY_VERSION,MIOS_CODE_SERVER_VERSION,MIOS_CROWDSEC_VERSION,MIOS_GUACAMOLE_VERSION,MIOS_GUACD_VERSION,MIOS_HERMES_VERSION,MIOS_IMAGE_TAG,MIOS_OPENCODE_VERSION,MIOS_POSTGRES_VERSION,MIOS_PXE_HUB_VERSION,MIOS_SEARXNG_VERSION,MIOS_SGLANG_VERSION,MIOS_SYS_VERSION,MIOS_VALKEY_VERSION,MIOS_VLLM_VERSION
4	16	MIOS_CEPHFS_MDS_CACHE_MEMORY_LIMIT_GIB,MIOS_CONV_GATEWAY_WORKER_CONCURRENCY,MIOS_DEV_VM_MEMORY_RESERVE_GB,MIOS_DISPATCH_COUNCIL_MAX,MIOS_DISPATCH_ENDPOINT_CONCURRENCY,MIOS_DISPATCH_KV_FORK_MAX_BRANCHES,MIOS_DISPATCH_LANE_CONCURRENCY_GPU0,MIOS_DISPATCH_RR_MAX_SUSPENDED,MIOS_DISPATCH_STABLE_PREFIX_TAIL,MIOS_FIND_CATEGORY_PRIORITY_LINUX_RPM_GUI,MIOS_FIND_RANKER_FUZZY_MIN_TOKEN_LEN,MIOS_FINETUNE_SEEDS_PER_CAPABILITY,MIOS_REPOS_FEDORA_IP_RESOLVE,MIOS_REPOS_FEDORA_UPDATES_IP_RESOLVE,MIOS_SCHEDULER_MAX_SUSPENDED,MIOS_STORAGE_CEPHFS_MDS_CACHE_MEMORY_LIMIT_GIB
6	8	MIOS_BLADES_MAX_NODES,MIOS_DAEMON_INDEX_MAX_DEPTH,MIOS_DISPATCH_DEEPEN_JUDGE_TIMEOUT_S,MIOS_DOCS_MIGRATE_MIN_LINES,MIOS_FIND_CATEGORY_PRIORITY_MIOS_SHIM,MIOS_PREFILTER_CLASSIFY_TIMEOUT_S,MIOS_ROUTING_PREFILTER_CLASSIFY_TIMEOUT_S,MIOS_WEB_RESEARCH_TOP_N
